x y
8.000000000000000000e+00 1.250000000000000000e-01
8.349999999999999645e+00 1.174215891059223749e-01
8.699999999999999289e+00 9.560527341056111739e-02
9.050000000000000711e+00 6.219638098646579349e-02
9.400000000000000355e+00 2.124589286253007400e-02
9.750000000000000000e+00 -2.228075695618651070e-02
1.009999999999999964e+01 -6.310576307498214077e-02
1.044999999999999929e+01 -9.627890675591335712e-02
1.080000000000000071e+01 -1.177777925835822997e-01
1.115000000000000036e+01 -1.249955823089177465e-01
1.150000000000000000e+01 -1.170570859113495427e-01
1.184999999999999964e+01 -9.492488239218851986e-02
1.219999999999999929e+01 -6.128260266758752545e-02
1.255000000000000071e+01 -2.020952704421070251e-02
1.289999999999999858e+01 2.331404617782175184e-02
1.325000000000000000e+01 6.401068465523009066e-02
1.359999999999999964e+01 9.694573481378120083e-02
1.394999999999999929e+01 1.181256711667783982e-01
1.430000000000000071e+01 1.249823295479268875e-01
1.464999999999999858e+01 1.166843087640640625e-01
1.500000000000000000e+01 9.423778179291307511e-02
