t	x	F(x)	F_approx	Error
0.0	-8.0	-0.11970743504042308	-0.11970743504042308	0.0
0.01	-7.992	-0.11999150466863796	-0.11999177090849726	2.6623985929785654e-07
0.02	-7.984	-0.12026789488151113	-0.12026840857976391	5.136982527825795e-07
0.03	-7.976	-0.12053658799016323	-0.12053733123654853	7.43246385298546e-07
0.04	-7.968	-0.12079756679832697	-0.12079852252195573	9.557236287649484e-07
0.05	-7.96	-0.12105081460344776	-0.12105196654194217	1.1519384944119748e-06
0.06	-7.952	-0.12129631519775258	-0.12129764786733216	1.3326695795790044e-06
0.07	-7.944	-0.12153405286928713	-0.12153555153577655	1.4986664894217627e-06
0.08	-7.936	-0.12176401240292152	-0.12176566305365585	1.6506507343333476e-06
0.09	-7.928	-0.12198617908132417	-0.12198796839792786	1.78931660368975e-06
0.1	-7.92	-0.12220053868590351	-0.12220245401791967	1.9153320161557907e-06
0.11	-7.912	-0.12240707749771798	-0.12240910683706568	2.0293393477033295e-06
0.12	-7.904	-0.12260578229835409	-0.12260791425459097	2.1319562368837808e-06
0.13	-7.896	-0.12279664037077244	-0.12279886414714138	2.2237763689370027e-06
0.14	-7.888	-0.12297963950012161	-0.12298194487036	2.3053702383896146e-06
0.15	-7.88	-0.12315476797451973	-0.1231571452604113	2.377285891572156e-06
0.16	-7.872	-0.12332201458580418	-0.12332445463545214	2.440049647958742e-06
0.17	-7.864	-0.12348136863024896	-0.12348386279705185	2.4941668028966024e-06
0.18	-7.856	-0.12363281990924967	-0.12363536003156007	2.5401223104071224e-06
0.19	-7.848	-0.12377635872997608	-0.12377893711142354	2.578381447460032e-06
0.2	-7.84	-0.12391197590599266	-0.12391458529645263	2.609390459970551e-06
0.21	-7.832	-0.12403966275784645	-0.12404229633503686	2.633577190408465e-06
0.22	-7.824	-0.12415941111362255	-0.12416206246531142	2.651351688864878e-06
0.23	-7.816	-0.12427121330946703	-0.12427387641627322	2.663106806188864e-06
0.24	-7.808	-0.12437506219007749	-0.12437773140884839	2.669218770900983e-06
0.25	-7.8	-0.12447095110916107	-0.1244736211569108	2.6700477497310082e-06
0.26	-7.792	-0.12455887392985966	-0.12456153986825198	2.665938392321099e-06
0.27	-7.784	-0.12463882502514274	-0.12464148224550353	2.657220360788304e-06
0.28	-7.776	-0.1247107992781675	-0.12471344348701105	2.644208843549656e-06
0.29	-7.768	-0.12477479208260632	-0.12477741928766112	2.6272050547976322e-06
0.3	-7.76	-0.12483079934294157	-0.12483340583966152	2.6064967199451727e-06
0.31	-7.752	-0.12487881747472769	-0.12488139983327415	2.582358546457386e-06
0.32	-7.744	-0.12491884340482064	-0.12492139845750186	2.5550526812218033e-06
0.33	-7.736	-0.12495087457157454	-0.12495339940072944	2.5248291549012647e-06
0.34	-7.728	-0.12497490892500569	-0.12497740085131852	2.4919263128253544e-06
0.35000000000000003	-7.72	-0.12499094492692364	-0.12499340149815723	2.4565712335861134e-06
0.36	-7.712	-0.12499898155102974	-0.12500140053116482	2.4189801350743556e-06
0.37	-7.704	-0.12499901828298282	-0.12500139764175142	2.3793587685949635e-06
0.38	-7.696	-0.12499105512043203	-0.12499339302323295	2.3379028009223868e-06
0.39	-7.688	-0.12497509257301703	-0.1249773873712027	2.2947981856702437e-06
0.4	-7.68	-0.12495113166233546	-0.12495338188385799	2.250221522531737e-06
0.41000000000000003	-7.672	-0.12491917392187739	-0.12492137826228387	2.204340406486427e-06
0.42	-7.664	-0.1248792213969273	-0.124881378710693	2.157313765710489e-06
0.43	-7.656	-0.12483127664443315	-0.12483338593662305	2.109292189897416e-06
0.44	-7.648	-0.12477534273284276	-0.12477740315109062	2.06041824786507e-06
0.45	-7.64	-0.12471142324190734	-0.12471343406870311	2.010826795767473e-06
0.46	-7.632	-0.12463952226245252	-0.12464148290772824	1.9606452757170434e-06
0.47000000000000003	-7.624	-0.12455964439611643	-0.12456155439012129	1.909994004858917e-06
0.48	-7.616	-0.12447179475505528	-0.12447365374151112	1.8589864558410385e-06
0.49	-7.608	-0.12437597896161608	-0.12437778669114391	1.8077295278334793e-06
0.5	-7.6	-0.12427220314797689	-0.12427395947178693	1.7563238100398726e-06
0.51	-7.592	-0.1241604739557544	-0.12416217881958969	1.70486383528623e-06
0.52	-7.584	-0.12404079853557877	-0.12404245197390582	1.6534383270455644e-06
0.53	-7.576	-0.12391318454663604	-0.12391478667707367	1.60213043763624e-06
0.54	-7.568	-0.1237776401561779	-0.12377919117415669	1.5510179787875389e-06
0.55	-7.56	-0.12363417403899911	-0.12363567421264443	1.500173645321845e-06
0.56	-7.552	-0.12348279537688224	-0.12348424504211267	1.4496652304268887e-06
0.5700000000000001	-7.544	-0.12332351385800994	-0.12332491341384509	1.399555835154831e-06
0.58	-7.536	-0.12315633967634504	-0.12315768958041504	1.349904069997132e-06
0.59	-7.5280000000000005	-0.12298128353097816	-0.12298258429522824	1.3007642500756367e-06
0.6	-7.52	-0.12279835662544278	-0.12279960881202687	1.2521865840886548e-06
0.61	-7.5120000000000005	-0.1226075706669985	-0.12260877488435497	1.2042173564708047e-06
0.62	-7.504	-0.12240893786588145	-0.12241009476498499	1.1568991035437737e-06
0.63	-7.496	-0.12220247093452317	-0.1222035812053069	1.110270783727385e-06
0.64	-7.4879999999999995	-0.12198818308673676	-0.12198924745467873	1.0643679419775065e-06
0.65	-7.48	-0.12176608803687136	-0.12176710725973958	1.0192228682148752e-06
