X Err_m1 Err_m2 Err_m3 Err_m4 Err_m5 Err_m6 Err_m7 Err_m8 Err_m9 Err_m10
8.000000 0.005990 0.055913 0.142785 0.012441 0.040152 0.004307 0.003830 0.013823 0.000801 0.000794
8.016694 0.003917 0.053323 0.138300 0.013053 0.036143 0.003973 0.002860 0.010423 0.000569 0.000553
8.033389 0.001855 0.050746 0.133843 0.013613 0.032269 0.003639 0.001954 0.007251 0.000353 0.000330
8.050083 0.000196 0.048181 0.129415 0.014124 0.028529 0.003308 0.001112 0.004299 0.000153 0.000124
8.066778 0.002235 0.045630 0.125017 0.014585 0.024920 0.002978 0.000330 0.001557 0.000031 0.000066
8.083472 0.004262 0.043093 0.120648 0.014998 0.021441 0.002651 0.000394 0.000982 0.000201 0.000241
8.100167 0.006277 0.040570 0.116310 0.015365 0.018088 0.002328 0.001062 0.003327 0.000357 0.000401
8.116861 0.008278 0.038063 0.112003 0.015686 0.014860 0.002008 0.001677 0.005485 0.000500 0.000547
8.133556 0.010265 0.035571 0.107727 0.015963 0.011754 0.001692 0.002240 0.007465 0.000629 0.000679
8.150250 0.012238 0.033095 0.103483 0.016196 0.008769 0.001380 0.002754 0.009273 0.000747 0.000798
8.166945 0.014195 0.030635 0.099272 0.016387 0.005901 0.001074 0.003221 0.010918 0.000852 0.000904
8.183639 0.016138 0.028193 0.095093 0.016537 0.003150 0.000772 0.003642 0.012405 0.000946 0.000999
8.200334 0.018064 0.025769 0.090947 0.016646 0.000512 0.000476 0.004021 0.013743 0.001030 0.001082
8.217028 0.019974 0.023362 0.086835 0.016717 0.002015 0.000186 0.004358 0.014938 0.001103 0.001155
8.233723 0.021867 0.020975 0.082758 0.016749 0.004432 0.000099 0.004655 0.015996 0.001166 0.001217
8.250417 0.023743 0.018606 0.078715 0.016744 0.006742 0.000377 0.004915 0.016923 0.001220 0.001270
8.267112 0.025600 0.016258 0.074707 0.016704 0.008946 0.000648 0.005139 0.017727 0.001265 0.001313
8.283806 0.027439 0.013929 0.070734 0.016628 0.011048 0.000912 0.005330 0.018413 0.001301 0.001348
8.300501 0.029259 0.011621 0.066797 0.016519 0.013048 0.001170 0.005487 0.018986 0.001330 0.001374
8.317195 0.031060 0.009335 0.062897 0.016376 0.014950 0.001420 0.005614 0.019453 0.001351 0.001393
8.333890 0.032841 0.007070 0.059034 0.016202 0.016754 0.001662 0.005712 0.019819 0.001365 0.001404
8.350584 0.034601 0.004827 0.055208 0.015997 0.018464 0.001897 0.005782 0.020089 0.001372 0.001408
8.367279 0.036340 0.002607 0.051419 0.015763 0.020080 0.002124 0.005826 0.020268 0.001373 0.001405
8.383973 0.038058 0.000410 0.047668 0.015499 0.021606 0.002343 0.005845 0.020362 0.001367 0.001397
8.400668 0.039755 0.001764 0.043956 0.015208 0.023043 0.002553 0.005841 0.020375 0.001356 0.001382
8.417362 0.041429 0.003913 0.040283 0.014889 0.024393 0.002756 0.005815 0.020312 0.001340 0.001362
8.434057 0.043080 0.006038 0.036649 0.014545 0.025657 0.002950 0.005768 0.020178 0.001319 0.001338
8.450751 0.044708 0.008139 0.033055 0.014176 0.026839 0.003135 0.005702 0.019977 0.001293 0.001308
8.467446 0.046313 0.010214 0.029500 0.013783 0.027939 0.003312 0.005618 0.019713 0.001263 0.001274
