X F
8.000000 -0.035988
8.344828 -0.074335
8.689655 -0.103930
9.034483 -0.121289
9.379310 -0.124369
9.724138 -0.112806
10.068966 -0.087962
10.413793 -0.052763
10.758621 -0.011351
11.103448 0.031397
11.448276 0.070448
11.793103 0.101206
12.137931 0.120048
12.482759 0.124757
12.827586 0.114777
13.172414 0.091285
13.517241 0.057046
13.862069 0.016090
14.206897 -0.026760
14.551724 -0.066459
14.896552 -0.098334
15.241379 -0.118632
15.586207 -0.124963
15.931034 -0.116582
16.275862 -0.094475
16.620690 -0.061246
16.965517 -0.020806
17.310345 0.022084
17.655172 0.062374
18.000000 0.095320
